trajectory_id	T1_standard_name	T1_name	T1_phecode	T2_standard_name	T2_name	T2_phecode	AOU_T1_local_GWAS_term	AOU_T2_local_GWAS_term	AOU_T1toT2_local_GWAS_term	BBJ_T1_local_GWAS_term	BBJ_T2_local_GWAS_term	BBJ_T1toT2_local_GWAS_term	CKB_T1_local_GWAS_term	CKB_T2_local_GWAS_term	CKB_T1toT2_local_GWAS_term	FinnGen_T1_local_GWAS_term	FinnGen_T2_local_GWAS_term	FinnGen_T1toT2_local_GWAS_term	GHI_T1_local_GWAS_term	GHI_T2_local_GWAS_term	GHI_T1toT2_local_GWAS_term	HUNT_T1_local_GWAS_term	HUNT_T2_local_GWAS_term	HUNT_T1toT2_local_GWAS_term	MGBB_T1_local_GWAS_term	MGBB_T2_local_GWAS_term	MGBB_T1toT2_local_GWAS_term	MGI_T1_local_GWAS_term	MGI_T2_local_GWAS_term	MGI_T1toT2_local_GWAS_term	MVP_T1_local_GWAS_term	MVP_T2_local_GWAS_term	MVP_T1toT2_local_GWAS_term	PMBB_T1_local_GWAS_term	PMBB_T2_local_GWAS_term	PMBB_T1toT2_local_GWAS_term	UKBB_T1_local_GWAS_term	UKBB_T2_local_GWAS_term	UKBB_T1toT2_local_GWAS_term
AFtoPACEMAKER	AF	Atrial fibrillation	427.2	PACEMAKER	Pacemaker status / implantation	426.9	Birth_to_AF	Birth_to_PACEMAKER	AFtoPACEMAKER; AF_to_PACEMAKER							I9_AF	PACEMAKER	I9_AF_PACEMAKER_0	AFib	Cardiac_Pacemaker	AFib_to_Cardiac_Pacemaker				427.2	426.9	427.2_to_426.9	AF	PACEMAKER	AFtoPACEMAKER	AF	PACEMAKER	AFtoPACEMAKER				AF	PACEMAKER	AFtoPACEMAKER
ANGINAtoHEARTFAIL	ANGINA	Angina pectoris	411.3	HEARTFAIL	Heart failure	428.2	Birth_to_ANGINA	Birth_to_HEARTFAIL	ANGINAtoHEARTFAIL	ANGINA	HEARTFAIL	ANGINAtoHEARTFAIL	ANGINA	HEARTFAIL	ANGINAtoHEARTFAIL	I9_ANGINA	I9_HEARTFAIL	I9_ANGINA_I9_HEARTFAIL_0				ANGINA	HEARTFAIL	ANGINAtoHEARTFAIL	411.3	428.2	411.3_to_428.2	ANGINA	HEARTFAIL	ANGINAtoHEARTFAIL							ANGINA	HEARTFAIL	ANGINAtoHEARTFAIL
ASTHMAtoBRONCHI	ASTHMA	Asthma	495	BRONCHI	Bronchitis	496.3	Birth_to_ASTHMA	Birth_to_BRONCHI	ASTHMAtoBRONCHI; ASTHMA_to_BRONCHI																			ASTHMA	BRONCHI	ASTHMAtoBRONCHI							ASTHMA	BRONCHI	ASTHMAtoBRONCHI
ASTHMAtoEMPHYSEMA	ASTHMA	Asthma	495	EMPHYSEMA	Emphysema	496.1	Birth_to_ASTHMA	Birth_to_EMPHYSEMA	ASTHMAtoEMPHYSEMA; ASTHMA_to_EMPHYSEMA				ASTHMA	EMPHYSEMA	ASTHMAtoEMPHYSEMA										495	496.1	495_to_496.1	ASTHMA	EMPHYSEMA	ASTHMAtoEMPHYSEMA	ASTHMA	EMPHYSEMA	ASTHMAtoEMPHYSEMA				ASTHMA	EMPHYSEMA	ASTHMAtoEMPHYSEMA
CADtoHEARTFAIL	CAD	Coronary atherosclerosis / coronary artery disease	411.4	HEARTFAIL	Heart failure	428.2	Birth_to_CAD	Birth_to_HEARTFAIL	CADtoHEARTFAIL; CAD_to_HEARTFAIL	CAD	HEARTFAIL	CADtoHEARTFAIL	CAD	HEARTFAIL	CADtoHEARTFAIL	I9_CORATHER	I9_HEARTFAIL	I9_CORATHER_I9_HEARTFAIL_0	CAD	Heart_Failure	CAD_to_Heart_Failure	CAD	HEARTFAIL	CADtoHEARTFAIL	411.4	428.2	411.4_to_428.2	CAD	HEARTFAIL	CADtoHEARTFAIL	CAD	HEARTFAIL	CADtoHEARTFAIL				CAD	HEARTFAIL	CADtoHEARTFAIL
CEREBRARTtoCEREBVASC	CEREBRART	Cerebral artery occlusion / stenosis	433.2	CEREBVASC	Cerebrovascular disease	433.8	Birth_to_CEREBRART	Birth_to_CEREBVASC	CEREBRARTtoCEREBVASC; CEREBRART_to_CEREBVASC				CEREBRART	CEREBVASC	CEREBRARTtoCEREBVASC							CEREBRART	CEREBVASC	CEREBRARTtoCEREBVASC				CEREBRART	CEREBVASC	CEREBRARTtoCEREBVASC	CEREBRART	CEREBVASC	CEREBRARTtoCEREBVASC				CEREBRART	CEREBVASC	CEREBRARTtoCEREBVASC
COPDtoLUNGCA	COPD	Chronic obstructive pulmonary disease	496.21	LUNGCA	Lung cancer	165.1	Birth_to_COPD	Birth_to_LUNGCA	COPDtoLUNGCA				COPD	LUNGCA	COPDtoLUNGCA	J10_COPD	C3_BRONCHUS_LUNG	J10_COPD_C3_BRONCHUS_LUNG_0										COPD	LUNGCA	COPDtoLUNGCA	COPD	LUNGCA	COPDtoLUNGCA				COPD	LUNGCA	COPDtoLUNGCA
COPDtoPULMHEART	COPD	Chronic obstructive pulmonary disease	496.21	PULMHEART	Pulmonary heart disease	415.2	Birth_to_COPD	Birth_to_PULMHEART	COPDtoPULMHEART				COPD	PULMHEART	COPDtoPULMHEART	J10_COPD	I9_PULMHEART	J10_COPD_I9_PULMHEART_0										COPD	PULMHEART	COPDtoPULMHEART	COPD	PULMHEART	COPDtoPULMHEART				COPD	PULMHEART	COPDtoPULMHEART
COPDtoRESP	COPD	Chronic obstructive pulmonary disease	496.21	RESP	Respiratory failure / insufficiency	509.1	Birth_to_COPD	Birth_to_RESP	COPDtoRESP; COPD_to_RESP				COPD	RESP	COPDtoRESP										496.21	509.1	496.21_to_509.1	COPD	RESP	COPDtoRESP	COPD	RESP	COPDtoRESP				COPD	RESP	COPDtoRESP
GLAUCOMAtoBLIND	GLAUCOMA	Glaucoma	365	BLIND	Blindness and low vision	367.9	Birth_to_GLAUCOMA	Birth_to_BLIND	GLAUCOMAtoBLIND; GLAUCOMA_to_BLIND							H7_GLAUCOMA	H7_BLINDANDVISIMPAIRMENT	H7_GLAUCOMA_H7_BLINDANDVISIMPAIRMENT_0							365	367.9	365_to_367.9	GLAUCOMA	BLIND	GLAUCOMAtoBLIND	GLAUCOMA	BLIND	GLAUCOMAtoBLIND				GLAUCOMA	BLIND	GLAUCOMAtoBLIND
